Code,Region,Gender,AgeGroup,Number,Population,CI_Proportion_Lower,CI_Proportion_Upper,Proportion (%),Risk_Factor
PHN701,NORTHERN TERRITORY,Males,55–74,7074.62911362651,16496.5021989839,33.3,52.5,42.89,Obesity
PHN701,NORTHERN TERRITORY,Males,75+,,,24.9,33.1,,Obesity
PHN701,NORTHERN TERRITORY,Persons,18–54,25733.025523377,99218.0000000001,22.2,29.6,25.94,Obesity
PHN701,NORTHERN TERRITORY,Persons,55–74,12572.363505822,30836.1753819601,33.7,47.8,40.77,Obesity
PHN701,NORTHERN TERRITORY,Persons,75+,,,27.9,32.9,,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Females,18–54,3714.0226166627,110702.0,21.1,44.4,32.76,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Females,55–74,13000.6026603441,37214.0431957152,26.3,43.6,34.93,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Females,75+,,,30.2,33.8,,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Males,18–54,24866.6507468718,107814.0,18.1,28.0,23.06,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Males,55–74,11639.4716992369,34917.2683935353,23.3,43.3,33.33,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Males,75+,,,23.9,30.9,,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Persons,18–54,51564.1758684141,218516.0,20.1,27.1,23.6,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Persons,55–74,24640.074359581,72131.3115892504,27.5,40.9,34.16,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Persons,75+,5068.28421038074,19926.6884107495,15.4,35.4,25.43,Obesity
