AgeGroup,CI_Proportion_Lower,CI_Proportion_Upper,Code,Gender,Number,Population,Proportion (%),Region,Risk_Factor,Source_File,Year
18-54,28.1,37.0,PHN305,Males,3035.399,9333.07,32.52,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,20.6,28.5,PHN305,Males,818.806,3336.162,24.54,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,6.2,12.5,PHN305,Males,59.561,638.425,9.33,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,22.7,30.2,PHN305,Persons,4854.803,18359.96,26.44,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,18.9,25.9,PHN305,Persons,1381.121,6167.225,22.4,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,6.4,11.3,PHN305,Persons,117.208,1322.765,8.86,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.1,17.4,PHN306,Females,30613.89,188879.2,16.21,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.8,13.9,PHN306,Females,13712.06,106564.9,12.87,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.8,5.3,PHN306,Females,1500.796,33129.59,4.53,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,24.4,27.6,PHN306,Males,46761.64,180099.1,25.96,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.4,16.6,PHN306,Males,16032.13,103375.3,15.51,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.2,5.8,PHN306,Males,1493.445,29710.13,5.03,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.7,22.2,PHN306,Persons,77318.15,368978.3,20.96,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.2,15.2,PHN306,Persons,29852.08,209940.3,14.22,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.0,5.5,PHN306,Persons,3013.154,62839.73,4.8,CENTRAL QUEENSLAND AND SUNSHINE COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.2,19.0,PHN307,Females,28039.92,159643.9,17.56,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.6,17.2,PHN307,Females,10397.42,65491.83,15.88,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.3,7.3,PHN307,Females,1064.614,16889.8,6.3,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,26.2,30.1,PHN307,Males,43669.92,154873.6,28.14,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,16.9,19.8,PHN307,Males,12503.46,68174.7,18.34,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.4,7.7,PHN307,Males,1001.772,15210.54,6.59,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.2,24.3,PHN307,Persons,71634.44,314517.5,22.75,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.8,18.5,PHN307,Persons,22973.25,133666.5,17.19,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.4,7.5,PHN307,Persons,2081.368,32100.34,6.48,NORTHERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,11.8,13.5,PHN401,Females,38444.12,304899.1,12.61,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.4,12.3,PHN401,Females,15127.8,133256.2,11.35,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.6,5.1,PHN401,Females,2056.471,47466.9,4.33,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.8,22.3,PHN401,Males,63648.77,302148.6,21.06,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.3,14.2,PHN401,Males,16111.6,121422.9,13.27,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.9,5.3,PHN401,Males,1680.617,36714.13,4.58,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.9,17.7,PHN401,Persons,101886.9,607047.8,16.78,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.5,13.2,PHN401,Persons,31401.27,254679.0,12.33,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.8,5.2,PHN401,Persons,3772.949,84181.03,4.48,ADELAIDE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.8,17.0,PHN402,Females,16106.01,101560.9,15.86,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.2,14.2,PHN402,Females,8177.797,61987.35,13.19,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.5,6.2,PHN402,Females,1050.418,19578.45,5.36,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,24.6,27.7,PHN402,Males,26264.07,100385.2,26.16,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.1,17.5,PHN402,Males,10108.58,62015.49,16.3,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.3,7.4,PHN402,Males,1105.806,17449.82,6.34,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.8,22.1,PHN402,Persons,42294.67,201946.0,20.94,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.8,15.8,PHN402,Persons,18335.84,124002.8,14.79,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.0,6.7,PHN402,Persons,2167.815,37028.27,5.85,COUNTRY SA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,10.0,11.6,PHN501,Females,30014.95,277861.8,10.8,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.1,10.7,PHN501,Females,10057.41,101509.5,9.91,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.0,4.3,PHN501,Females,1123.875,30774.7,3.65,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.9,19.2,PHN501,Males,49941.66,276327.4,18.07,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.3,12.1,PHN501,Males,10861.66,96964.51,11.2,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.2,4.5,PHN501,Males,948.112,24733.6,3.83,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,13.5,15.3,PHN501,Persons,79789.0,554189.2,14.4,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.8,11.4,PHN501,Persons,21022.59,198474.1,10.59,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.2,4.4,PHN501,Persons,2090.779,55508.3,3.77,PERTH NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,11.2,12.9,PHN502,Females,30352.87,251941.3,12.05,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.7,12.5,PHN502,Females,10856.66,93981.94,11.55,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.6,5.1,PHN502,Females,1284.94,29557.69,4.35,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,18.7,21.2,PHN502,Males,50409.39,253253.1,19.9,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.2,14.2,PHN502,Males,11780.02,89225.22,13.2,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.9,5.4,PHN502,Males,1134.766,24309.37,4.67,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.0,16.9,PHN502,Persons,80595.33,505194.4,15.95,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.5,13.3,PHN502,Persons,22746.93,183207.2,12.42,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.8,5.2,PHN502,Persons,2439.811,53867.06,4.53,PERTH SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.6,19.1,PHN503,Females,18902.13,105778.0,17.87,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.9,16.2,PHN503,Females,7657.03,50889.78,15.05,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.0,6.9,PHN503,Females,822.396,13756.87,5.98,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,26.9,30.4,PHN503,Males,29230.74,102066.1,28.64,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,17.3,20.1,PHN503,Males,9628.62,51504.2,18.7,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.5,7.7,PHN503,Males,810.254,12233.88,6.62,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.8,24.5,PHN503,Persons,48087.69,207844.1,23.14,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.8,18.1,PHN503,Persons,17327.51,102394.0,16.92,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.3,7.3,PHN503,Persons,1643.234,25990.74,6.32,COUNTRY WA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.5,21.2,PHN601,Females,22225.0137513025,117723.0,18.88,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.9,16.2,PHN601,Females,9031.34734920351,68881.4889434982,13.55,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.3,7.8,PHN601,Females,,18327.5110565019,5.04,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,20.9,25.8,PHN601,Males,26897.7095112029,115116.0,23.37,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.7,16.6,PHN601,Males,9063.0872549897,64858.4909174691,14.15,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,1.2,6.9,PHN601,Males,,16517.5090825311,4.07,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.0,23.2,PHN601,Persons,49122.7232625055,232839.0,21.1,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.7,15.9,PHN601,Persons,18094.4346041932,133739.979860967,13.85,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.8,6.4,PHN601,Persons,1743.79517266339,34845.020139033,4.6,TASMANIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.9,21.6,PHN701,Females,8965.40941096391,49166.0000000001,18.23,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.8,23.4,PHN701,Females,2737.52566915016,14339.6731829762,19.07,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,6.7,10.3,PHN701,Females,,2031.0,,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,22.3,29.3,PHN701,Males,12918.1106626099,50052.0000000002,25.81,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.4,21.1,PHN701,Males,2675.68578477242,16496.5021989839,16.72,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,6.8,10.9,PHN701,Males,176.083,1996.404,8.82,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.3,24.8,PHN701,Persons,21883.5200735738,99218.0000000001,22.06,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.6,21.1,PHN701,Persons,5413.21145392258,30836.1753819601,17.83,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,,,PHN701,Persons,,,,NORTHERN TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,7.9,11.6,PHN801,Females,10767.6634194358,110702.0,9.73,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,4.9,12.5,PHN801,Females,3310.4696971344,37214.0431957152,8.71,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,,,PHN801,Females,,10408.0,,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,12.0,17.0,PHN801,Males,15665.6613378829,107814.0,14.53,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,6.5,13.6,PHN801,Males,3511.31153448883,34917.2683935353,10.06,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.7,4.1,PHN801,Males,,,,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,10.3,13.9,PHN801,Persons,26433.3247573186,218516.0,12.1,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,6.8,11.9,PHN801,Persons,6821.78123162322,72131.3115892504,9.36,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,,,PHN801,Persons,,,,AUSTRALIAN CAPITAL TERRITORY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18–54,18.8,19.7,PHN101,Females,88286.61,459106.3,19.23,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,29.6,30.9,PHN101,Females,42354.81,140001.2,30.25,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,28.7,30.3,PHN101,Females,14274.53,48400.83,29.49,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,21.4,22.4,PHN101,Males,100702.9,460007.6,21.89,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,33.3,34.7,PHN101,Males,44526.34,130964.1,34.0,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,22.9,28.2,PHN101,Males,9885.159,38695.33,25.55,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,20.0,21.0,PHN101,Persons,188678.5,919113.8,20.53,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,31.4,32.7,PHN101,Persons,86820.65,270965.3,32.04,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,27.2,28.5,PHN101,Persons,24259.26,87096.15,27.85,CENTRAL AND EASTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,16.1,17.2,PHN102,Females,40045.69,240892.3,16.62,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,24.7,26.3,PHN102,Females,23564.75,92363.79,25.51,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,24.7,26.4,PHN102,Females,8610.569,33717.17,25.54,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,18.4,19.6,PHN102,Males,43496.61,228909.3,19.0,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,27.5,29.2,PHN102,Males,24214.92,85501.02,28.32,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,19.1,23.0,PHN102,Males,5638.303,26743.57,21.08,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,17.2,18.3,PHN102,Persons,83452.36,469801.6,17.76,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,26.1,27.6,PHN102,Persons,47759.08,177864.8,26.85,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,22.9,24.5,PHN102,Persons,14316.54,60460.74,23.68,NORTHERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,22.7,25.4,PHN103,Females,61954.0,257194.4,24.09,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,33.2,36.6,PHN103,Females,28671.76,82163.25,34.9,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,32.3,36.2,PHN103,Females,7570.039,22111.71,34.24,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,24.7,27.8,PHN103,Males,69956.84,266455.2,26.26,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,36.4,40.7,PHN103,Males,30248.07,78521.52,38.52,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,26.4,33.7,PHN103,Males,5416.845,18027.46,30.05,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,23.8,26.5,PHN103,Persons,131709.3,523649.6,25.15,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,34.8,38.5,PHN103,Persons,58876.39,160684.8,36.64,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,30.4,34.6,PHN103,Persons,13035.6,40139.18,32.48,WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,30.4,34.1,PHN104,Females,29471.4,91331.58,32.27,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,40.7,45.1,PHN104,Females,17078.7,39790.99,42.92,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,37.4,42.6,PHN104,Females,4028.174,10063.37,40.03,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,32.8,36.9,PHN104,Males,31209.6,89658.34,34.81,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,44.8,50.0,PHN104,Males,17841.29,37655.39,47.38,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,31.4,40.1,PHN104,Males,2818.889,7882.315,35.76,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,31.6,35.4,PHN104,Persons,60633.58,180989.9,33.5,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,42.8,47.3,PHN104,Persons,34898.24,77446.37,45.06,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,35.6,41.0,PHN104,Persons,6874.475,17945.69,38.31,NEPEAN BLUE MOUNTAINS,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,27.1,30.4,PHN105,Females,72188.61,251046.5,28.76,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,37.7,41.5,PHN105,Females,36798.39,92892.63,39.61,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,35.5,39.8,PHN105,Females,9873.384,26203.16,37.68,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,29.5,33.0,PHN105,Males,76495.67,244933.2,31.23,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,41.2,46.0,PHN105,Males,38981.67,89374.39,43.62,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,29.7,37.7,PHN105,Males,7247.233,21508.02,33.7,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,28.3,31.6,PHN105,Persons,148567.0,495979.7,29.95,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,39.5,43.6,PHN105,Persons,75720.55,182267.0,41.54,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,33.7,38.3,PHN105,Persons,17179.89,47711.18,36.01,SOUTH WESTERN SYDNEY,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,29.7,33.2,PHN106,Females,43403.94,138024.6,31.45,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,39.8,43.9,PHN106,Females,31809.4,76040.72,41.83,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,36.3,41.1,PHN106,Females,10013.18,25854.34,38.73,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,31.8,35.7,PHN106,Males,45908.16,135994.0,33.76,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,43.8,48.6,PHN106,Males,34106.33,73873.3,46.17,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,30.6,38.8,PHN106,Males,7651.589,22064.62,34.68,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,30.8,34.3,PHN106,Persons,89243.58,274018.6,32.57,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,41.8,46.0,PHN106,Persons,65854.69,149914.0,43.93,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,34.4,39.5,PHN106,Persons,17717.81,47918.96,36.98,SOUTH EASTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,35.8,41.2,PHN107,Females,25166.1,65391.73,38.48,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,47.1,52.9,PHN107,Females,16824.91,33668.64,49.97,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,43.6,50.1,PHN107,Females,5472.268,11669.59,46.89,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,38.6,44.4,PHN107,Males,26145.77,63015.55,41.49,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,51.7,58.1,PHN107,Males,18657.28,34010.07,54.86,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,37.9,47.9,PHN107,Males,4211.453,9817.424,42.9,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,37.2,42.7,PHN107,Persons,51283.21,128407.3,39.94,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,49.4,55.3,PHN107,Persons,35435.45,67678.71,52.36,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,41.8,48.6,PHN107,Persons,9712.012,21487.01,45.2,WESTERN NSW,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,32.0,35.6,PHN108,Females,95991.37,283920.6,33.81,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,42.5,46.4,PHN108,Females,66676.46,150142.8,44.41,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,38.7,43.3,PHN108,Females,22000.23,53696.82,40.97,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,34.4,38.3,PHN108,Males,100325.2,275830.5,36.37,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,46.6,51.2,PHN108,Males,69804.3,142852.1,48.86,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,32.5,40.8,PHN108,Males,15987.14,43627.2,36.65,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,33.3,36.8,PHN108,Persons,196193.2,559751.0,35.05,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,44.5,48.6,PHN108,Persons,136392.3,292994.9,46.55,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,36.7,41.6,PHN108,Persons,38123.23,97324.01,39.17,HUNTER NEW ENGLAND AND CENTRAL COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,30.0,34.6,PHN109,Females,34638.53,107251.0,32.3,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,39.6,44.6,PHN109,Females,30918.88,73459.87,42.09,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,36.0,41.7,PHN109,Females,10222.82,26310.8,38.85,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,32.5,37.5,PHN109,Males,35020.41,100104.5,34.98,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,43.7,49.4,PHN109,Males,32978.88,70909.89,46.51,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,30.5,39.2,PHN109,Males,7739.07,22231.7,34.81,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,31.3,35.9,PHN109,Persons,69642.12,207355.5,33.59,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,41.6,46.8,PHN109,Persons,63842.48,144369.8,44.22,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,34.2,40.0,PHN109,Persons,18017.75,48542.5,37.12,NORTH COAST,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,29.5,34.9,PHN110,Females,16780.47,52116.9,32.2,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,40.3,46.4,PHN110,Females,12362.2,28495.6,43.38,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,36.8,43.4,PHN110,Females,4128.724,10285.85,40.14,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,32.0,37.8,PHN110,Males,17752.98,50864.7,34.9,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,44.7,51.5,PHN110,Males,13931.0,28961.71,48.1,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
75+,31.4,40.9,PHN110,Males,3187.894,8809.615,36.19,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
18–54,30.7,36.3,PHN110,Persons,34506.85,102981.6,33.51,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
55–74,42.6,48.8,PHN110,Persons,26253.64,57457.31,45.69,MURRUMBIDGEE,Obesity,PHN_OB_AGE_SEX,2017–2018
